distance_bucket,count,mean,late_rate_percent
0,13,0.07692307692307693,7.6923076923076925
0-100,12456,0.06486833654463713,6.486833654463712
100-500,26003,0.07103026573856863,7.103026573856863
500-1000,18012,0.08338885187652675,8.338885187652675
1000-2000,6757,0.1077401213556312,10.77401213556312
2000+,3969,0.1398337112622827,13.983371126228269
